All Test Averages	Trial Number	Test Timestamp	Tester Name	Dock Shape Style	Virtual Device Visible	Time Taken	Shape Precision %	Orientation Precision %	Overall Precision %	Dock Rotate Angle	Dock ChildRotate Angle	Dock RotateInverse Angle	Dock ChildRotateInverse Angle	Dock x Rotation	Dock y Rotation	Dock z Rotation	Efficiency %	Total Difficulty	MV Avg	MV Rotate Angle	MV ChildRotate Angle	MV RotateInverse Angle	MV ChildRotateInverse Angle	MV x Rotation	MV y Rotation	MV z Rotation	TRE Avg	TRE Rotate Angle	TRE ChildRotate Angle	TRE RotateInverse Angle	TRE ChildRotateInverse Angle	TRE x Rotation	TRE y Rotation	TRE z Rotation	
	92	2018-11-02_08:25:57	0	ZEROING DATA	True	6.665902	99.21857	96.87564	98.20464	1.623215E-30	0	0	5.52033E-31	0	0	0	100	2.416942E-33	1201.26	218.2563	384.4684	0	219.8972	67.87946	47.62426	263.1345	48	9	13	1	17	3	4	3	
	93	2018-11-02_08:26:08	0	Presets_dockPreset_5	True	10.92698	97.06775	87.69016	92.7777	0	0	0	90	27.63556	125.6273	162.1069	72.04039	0.4504109	2214.88	269.3666	362.1976	0	643.512	157.7073	171.8159	610.2807	58	23	29	1	6	1	0	0	
	94	2018-11-02_08:26:11	0	ZEROING DATA	True	3.109856	98.07895	98.23604	98.12231	0	0	0	3.397113E-15	0	0	0	100	3.77457E-18	1618.868	173.2409	121.2012	0	330.3103	214.1827	342.2227	437.7103	19	5	6	1	8	1	0	1	
	95	2018-11-02_08:26:21	0	Presets_dockPreset_4	True	9.863389	90.01386	92.42107	89.15028	110	37.62677	0	1.611493E-43	17.6303	8.869751	72.65372	90.76308	0.2742006	1182.332	220.1315	401.3476	0	431.8239	8.938211	0	120.0911	24	0	1	1	18	0	6	0	
	96	2018-11-02_08:26:24	0	ZEROING DATA	True	2.362584	98.66504	99.55578	98.966	3.591512E-10	4.251649E-22	0	0	0	0	0	100	3.990569E-13	561.8564	181.9212	126.3589	0	167.148	8.337006	0	78.0912	17	4	4	1	7	1	1	1	
	97	2018-11-02_08:26:29	0	Presets_dockPreset_1	True	5.319145	95.08803	95.98911	94.52371	5.548151E-23	150	0	150	25.00043	38.02256	56.03235	91.34555	0.465617	626.7917	167.1344	157.5383	0	187.7622	24.26321	13.63775	76.45595	15	13	0	1	0	2	0	1	
	98	2018-11-02_08:26:30	0	ZEROING DATA	True	0.411415	62.71944	81.30885	67.88234	1.814973E-25	0.005376383	0	0.8970534	0	0	0	99.99442	0.0010027	414.9073	12.42492	130.1098	0	136.185	38.23981	37.27353	60.67426	2	3	0	1	0	0	0	0	
	99	2018-11-02_08:26:53	0	Ltd Random	True	23.44443	95.14742	97.50188	96.11002	30	109.0337	0	90	5.008957E-06	5.008957E-06	90	76.4743	0.3544819	3392.201	540.1742	1014.153	0	1450.539	76.05872	21.95207	289.3239	19	13	0	1	0	3	5	0	
	100	2018-11-02_08:26:57	0	ZEROING DATA	True	3.420983	98.86039	99.51347	99.0266	3.039037E-16	1.01464E-32	0	8.556193E-16	0	0	0	100	1.288359E-18	776.5897	180.9815	199.0329	0	239.3551	0	2.314026	154.9063	22	5	7	1	9	1	1	1	
	101	2018-11-02_08:27:09	0	Presets_dockPreset_3	True	11.57462	94.95682	61.64518	80.5966	110	113.3057	0	135	88.33059	24.93228	64.88687	82.26212	0.5960616	1618.385	257.641	320.7029	0	257.6409	72.07288	348.2406	362.0869	5	0	2	1	2	1	0	0	
	102	2018-11-02_08:27:12	0	ZEROING DATA	True	3.421273	99.48395	99.53458	99.4343	3.966895E-15	1.505652E-31	0	4.782744E-15	0	0	0	100	9.721821E-18	1643.587	239.3728	321.4063	0	316.7	169.1517	286.4926	310.4632	24	7	9	1	3	1	3	1	
	103	2018-11-02_08:27:28	0	Ltd Random	True	15.65438	97.07405	95.79597	95.9446	90	49.94971	0	90	5.122642E-06	150	90	73.41493	0.5221663	2125.864	440.7224	341.0985	0	456.6558	61.06551	570.3046	256.0173	29	6	2	1	1	16	0	5	
	104	2018-11-02_08:27:32	0	ZEROING DATA	True	3.476582	98.69532	99.68056	98.99729	1.519406E-15	1.526107E-32	0	1.519406E-15	0	0	0	100	3.376459E-18	1310.442	212.1693	223.6482	0	289.2809	15.26071	347.5194	222.5634	21	7	8	1	3	1	1	1	
	105	2018-11-02_08:27:46	0	Ltd Random	False	14.03461	90.0562	92.12746	90.45212	30	109.2955	0	150	30	180	180	62.10759	0.7547728	2716.911	399.9214	472.615	0	324.4339	227.7182	204.2592	1087.963	19	8	0	1	1	4	4	2	
	106	2018-11-02_08:27:51	0	ZEROING DATA	True	4.939774	99.50153	99.45335	99.44363	7.569781E-23	1.611493E-43	0	3.506068E-22	0	0	0	100	4.736718E-25	1683.206	180.7835	219.4285	0	323.7142	209.2052	379.892	370.1823	26	5	5	1	5	3	5	3	
	107	2018-11-02_08:28:06	0	Presets_dockPreset_2	True	15.16955	98.43407	95.04369	96.15643	90	90	0	90	73.67535	102.7845	34.90492	68.72979	0.5348498	2629.587	252.6815	326.7984	0	375.0912	100.2821	1080.563	494.1723	34	15	4	1	5	4	4	2	
	108	2018-11-02_08:28:09	0	ZEROING DATA	True	3.001179	99.82542	99.0786	99.48861	2.693504E-13	8.233075E-28	0	2.693504E-13	0	0	0	100	5.985565E-16	1350.725	240.0161	255.9998	0	263.7785	177.7982	231.307	181.8248	16	3	1	1	3	7	1	1	
	109	2018-11-02_08:28:24	0	Presets_dockPreset_5	False	14.87778	96.00041	93.46502	91.08582	0	0	0	90	50.71237	99.77438	174.0245	54.15988	0.4605681	2665.175	444.7517	475.1936	0	562.2106	110.0347	110.4578	962.5277	116	24	70	1	0	0	0	23	
	110	2018-11-02_08:28:27	0	ZEROING DATA	True	2.824109	97.62312	65.17052	83.50068	0	0	0	1.81823E-12	0	0	0	100	2.020256E-15	719.752	77.82331	91.19405	0	199.2755	27.18106	132.0806	192.1974	20	1	8	1	5	5	2	0	
	111	2018-11-02_08:28:49	0	Ltd Random	True	21.45604	97.09277	99.78942	98.18777	90	90	0	90	30	180	30	47.94462	0.5666667	3640.639	621.9954	750.6512	0	648.1572	109.1533	593.3184	917.3629	69	4	39	1	10	9	2	5	
	112	2018-11-02_08:28:55	0	ZEROING DATA	True	5.71934	99.21857	99.72256	99.39716	2.430222E-26	0	0	2.430222E-26	0	0	0	100	5.400494E-29	1261.84	206.5118	204.1903	0	264.6966	102.6289	335.5979	148.2139	26	5	3	1	5	9	3	1	
	113	2018-11-02_08:29:06	0	Presets_dockPreset_1	False	10.99412	91.83757	94.52009	92.73341	0	150	0	150	0.4860229	119.9366	19.5192	79.01773	0.4888242	1092.984	369.9414	181.4504	0	261.649	56.84863	158.8954	64.19975	42	29	0	1	0	11	3	0	
	114	2018-11-02_08:29:10	0	ZEROING DATA	True	4.005468	98.59991	99.60589	99.01919	0	6.801143E-37	0	9.930088E-18	0	0	0	100	1.103343E-20	1097.601	211.9115	260.6884	0	303.8389	23.17574	232.5026	65.48387	25	13	1	1	6	3	1	3	
	115	2018-11-02_08:29:19	0	Presets_dockPreset_2	False	8.753905	97.95786	66.09828	83.6584	90	90	0	90	74.36358	151.9217	177.2289	81.72198	0.7483491	1167.055	124.7178	260.9229	0	467.6689	80.05378	88.07861	145.6123	8	1	5	1	0	2	0	0	
	116	2018-11-02_08:29:24	0	ZEROING DATA	True	5.196259	99.15544	99.8748	99.40827	1.456536E-23	0	0	1.456536E-23	0	0	0	100	3.236747E-26	1174.869	222.9377	195.5163	0	284.8421	152.641	89.93052	229.001	18	7	2	1	4	1	3	1	
	117	2018-11-02_08:29:32	0	Presets_dockPreset_4	False	8.234405	93.34052	50.49766	74.29268	110	38.37418	0	1.930551E-35	80.13012	65.14047	53.02237	87.06914	0.3851857	1433.605	150.5053	302.1829	0	244.7471	77.32029	518.1345	140.7152	22	0	6	1	15	2	0	0	
	118	2018-11-02_08:29:47	0	ZEROING DATA	True	14.98694	99.08833	99.02334	99.00195	0	0	0	0	0	0	0	100	0	2475.501	515.2816	346.2562	0	455.9702	171.8902	744.2037	241.901	98	35	7	1	49	1	6	1	
	119	2018-11-02_08:30:08	0	Presets_dockPreset_3	False	20.4979	89.58766	94.61536	91.41903	110	113.2984	0	135	20.16153	166.6264	64.00562	68.64659	0.6767688	1783.018	413.9866	350.0069	0	548.3568	86.0946	212.9655	171.6084	16	0	2	1	0	6	6	2	
	120	2018-11-02_08:30:13	0	ZEROING DATA	True	4.47151	99.41389	99.51166	99.35159	2.159491E-20	4.656515E-42	0	2.513838E-20	0	0	0	100	5.192588E-23	1385.397	227.3787	282.4906	0	262.8188	74.67358	350.6789	187.357	20	7	1	1	5	5	1	1	
	121	2018-11-02_08:30:23	0	Presets_dockPreset_5	False	9.712502	97.29654	97.80691	95.34908	0	0	0	90	31.34586	8.307892	85.56614	84.36848	0.2391332	1265.492	377.3875	262.0948	0	450.5782	8.816589	18.59787	148.0165	87	48	19	1	6	0	6	9	


